  0.00000000e+00  0.90407259e-03  0.14610608e-03  0.40162889e-03
  0.27677830e-02  0.93756671e-03  0.15151908e-03  0.41650850e-03
  0.55355660e-02  0.97230172e-03  0.15713262e-03  0.43193938e-03
  0.83033490e-02  0.10083236e-02  0.16295412e-03  0.44794196e-03
  0.11071132e-01  0.10456800e-02  0.16899129e-03  0.46453740e-03
  0.13838915e-01  0.10844204e-02  0.17525212e-03  0.48174767e-03
  0.16606698e-01  0.11245960e-02  0.18174490e-03  0.49959555e-03
  0.19374481e-01  0.11662600e-02  0.18847821e-03  0.51810467e-03
  0.22142264e-01  0.12094676e-02  0.19546098e-03  0.53729951e-03
  0.24910047e-01  0.12542759e-02  0.20270244e-03  0.55720548e-03
  0.27677830e-01  0.13007443e-02  0.21021217e-03  0.57784894e-03
  0.30445613e-01  0.13489342e-02  0.21800012e-03  0.59925719e-03
  0.33213396e-01  0.13989094e-02  0.22607659e-03  0.62145857e-03
  0.35981179e-01  0.14507360e-02  0.23445226e-03  0.64448248e-03
  0.38748962e-01  0.15044827e-02  0.24313824e-03  0.66835936e-03
  0.41516745e-01  0.15602206e-02  0.25214600e-03  0.69312084e-03
  0.44284528e-01  0.16180233e-02  0.26148748e-03  0.71879968e-03
  0.47052311e-01  0.16779675e-02  0.27117503e-03  0.74542987e-03
  0.49820094e-01  0.17401325e-02  0.28122148e-03  0.77304665e-03
  0.52587877e-01  0.18046005e-02  0.29164011e-03  0.80168657e-03
  0.55355660e-01  0.18714568e-02  0.30244473e-03  0.83138753e-03
  0.58123443e-01  0.19407899e-02  0.31364962e-03  0.86218885e-03
  0.60891226e-01  0.20126915e-02  0.32526963e-03  0.89413129e-03
  0.63659009e-01  0.20872569e-02  0.33732011e-03  0.92725712e-03
  0.66426792e-01  0.21645846e-02  0.34981702e-03  0.96161018e-03
  0.69194575e-01  0.22447770e-02  0.36277691e-03  0.99723595e-03
  0.71962358e-01  0.23279402e-02  0.37621691e-03  0.10341816e-02
  0.74730141e-01  0.24141843e-02  0.39015481e-03  0.10724959e-02
  0.77497924e-01  0.25036233e-02  0.40460907e-03  0.11122297e-02
  0.80265707e-01  0.25963756e-02  0.41959879e-03  0.11534356e-02
  0.83033490e-01  0.26925640e-02  0.43514382e-03  0.11961680e-02
  0.85801273e-01  0.27923156e-02  0.45126473e-03  0.12404835e-02
  0.88569056e-01  0.28957626e-02  0.46798286e-03  0.12864408e-02
  0.91336839e-01  0.30030417e-02  0.48532032e-03  0.13341007e-02
  0.94104622e-01  0.31142948e-02  0.50330004e-03  0.13835262e-02
  0.96872405e-01  0.32296692e-02  0.52194582e-03  0.14347828e-02
  0.99640188e-01  0.33493174e-02  0.54128233e-03  0.14879384e-02
  0.10240797e+00  0.34733978e-02  0.56133516e-03  0.15430631e-02
  0.10517575e+00  0.36020746e-02  0.58213083e-03  0.16002301e-02
  0.10794354e+00  0.37355179e-02  0.60369687e-03  0.16595149e-02
  0.11071132e+00  0.38739042e-02  0.62606178e-03  0.17209961e-02
  0.11347910e+00  0.40174165e-02  0.64925516e-03  0.17847548e-02
  0.11624689e+00  0.41662447e-02  0.67330770e-03  0.18508756e-02
  0.11901467e+00  0.43205856e-02  0.69825121e-03  0.19194460e-02
  0.12178245e+00  0.44806434e-02  0.72411869e-03  0.19905566e-02
  0.12455024e+00  0.46466296e-02  0.75094434e-03  0.20643016e-02
  0.12731802e+00  0.48187636e-02  0.77876365e-03  0.21407785e-02
  0.13008580e+00  0.49972732e-02  0.80761340e-03  0.22200886e-02
  0.13285358e+00  0.51823944e-02  0.83753177e-03  0.23023368e-02
  0.13562137e+00  0.53743719e-02  0.86855830e-03  0.23876318e-02
  0.13838915e+00  0.55734593e-02  0.90073402e-03  0.24760867e-02
  0.14115693e+00  0.57799199e-02  0.93410147e-03  0.25678183e-02
  0.14392472e+00  0.59940264e-02  0.96870477e-03  0.26629480e-02
  0.14669250e+00  0.62160620e-02  0.10045897e-02  0.27616018e-02
  0.14946028e+00  0.64463199e-02  0.10418036e-02  0.28639102e-02
  0.15222807e+00  0.66851043e-02  0.10803957e-02  0.29700084e-02
  0.15499585e+00  0.69327305e-02  0.11204171e-02  0.30800369e-02
  0.15776363e+00  0.71895257e-02  0.11619206e-02  0.31941411e-02
  0.16053141e+00  0.74558291e-02  0.12049610e-02  0.33124721e-02
  0.16329920e+00  0.77319922e-02  0.12495952e-02  0.34351864e-02
  0.16606698e+00  0.80183794e-02  0.12958822e-02  0.35624462e-02
  0.16883476e+00  0.83153688e-02  0.13438831e-02  0.36944198e-02
  0.17160255e+00  0.86233523e-02  0.13936613e-02  0.38312819e-02
  0.17437033e+00  0.89427362e-02  0.14452825e-02  0.39732134e-02
  0.17713811e+00  0.92739417e-02  0.14988149e-02  0.41204021e-02
  0.17990590e+00  0.96174054e-02  0.15543291e-02  0.42730424e-02
  0.18267368e+00  0.99735802e-02  0.16118983e-02  0.44313363e-02
  0.18544146e+00  0.10342935e-01  0.16715986e-02  0.45954930e-02
  0.18820924e+00  0.10725957e-01  0.17335086e-02  0.47657296e-02
  0.19097703e+00  0.11123151e-01  0.17977100e-02  0.49422710e-02
  0.19374481e+00  0.11535038e-01  0.18642875e-02  0.51253507e-02
  0.19651259e+00  0.11962161e-01  0.19333286e-02  0.53152105e-02
  0.19928038e+00  0.12405083e-01  0.20049245e-02  0.55121015e-02
  0.20204816e+00  0.12864384e-01  0.20791694e-02  0.57162837e-02
  0.20481594e+00  0.13340669e-01  0.21561610e-02  0.59280269e-02
  0.20758373e+00  0.13834563e-01  0.22360007e-02  0.61476107e-02
  0.21035151e+00  0.14346714e-01  0.23187934e-02  0.63753253e-02
  0.21311929e+00  0.14877794e-01  0.24046480e-02  0.66114713e-02
  0.21588707e+00  0.15428499e-01  0.24936773e-02  0.68563607e-02
  0.21865486e+00  0.15999549e-01  0.25859983e-02  0.71103165e-02
  0.22142264e+00  0.16591694e-01  0.26817320e-02  0.73736739e-02
  0.22419042e+00  0.17205705e-01  0.27810042e-02  0.76467807e-02
  0.22695821e+00  0.17842387e-01  0.28839447e-02  0.79299970e-02
  0.22972599e+00  0.18502569e-01  0.29906887e-02  0.82236963e-02
  0.23249377e+00  0.19187113e-01  0.31013757e-02  0.85282660e-02
